user_id,score,review,date
jn**2000,10,"아이가 보고싶어해서 봤어요
토이스토리 첨 보는데 많은 교훈을 주는 내용이네요
폰시간을 줄이자고하니 그렇게 영화를 이해하면 안된다네요 ㅋㅋ",34 분전
to**oim1225,4,애들이 좋아할 듯한 스토리… 유치함 ㅜㅜ,1 시간전
yo**50512,9,"""시대는 변해도, 친구들은 영원하다""",1 시간전
ka**guil91,8,새로운 디지털 장난감과 끝나지 않은 아날로그 장난감들의 이야기...,3 시간전
kj**ock,8,토이 스토리 재미있게 잘 봤어요,3 시간전
pe**h7love,10,재미있어요 굿굿 ㅠㅠ,3 시간전
ju**anchoi1,10,재미있게 봤어요 또 보고  싶어 요,4 시간전
vi**ojh75,9,토이스토리는 언제나 기대를 저버리지않아요♡,4 시간전
jj**ap,8,여전히 생명력이 있는 시리즈라는게 느껴진다,4 시간전
ye**iroxo7,10,관계는 바뀌어도 추억은 바뀌지 않는다. 소중한 추억...,4 시간전
ba**7710,9,토이스토리  아이가 좋아하는 애니에요,4 시간전
mi**5844,10,사실 시리즈가 많아 기대는 안했는데 고1.중2아들과 같이봤는데 재미있었어요~,4 시간전
ca**42306,10,"오랜만에 보는 토이스토리, 재밌었어요",4 시간전
ca**smin11,8,"디즈니 스러운 교훈과 스토리네요
시리즈를 전부본게아니라서 왜 인생영화인지까진 공감하지못했지만 작중 감정변화나 표현은 좋았습니다
버즈 장난감을 가지고 관람한 아이덕에 별하나 추가요",6 시간전
wh**edress28,10,굿굿입니다용 ㅎㅎㅎㅎ,7 시간전
ss**lue89,10,끝없는 아이들과 장난감의 유대,10 시간전
ju**o920315,10,토이스토리 시리즈중 최고,10 시간전
tk**js95,10,감동적이고 노래ost도 좋아요,11 시간전
da**onc3,6,아무 생각 없이 힐링하기 좋은 킬링 타임용 영화. 동심 충전 완료.,11 시간전
ch**jy4010,10,영상이 예뻐서 어른도 힐링각,12 시간전
ji**0124,10,요즘 아이들이 꼭 봐야할 영화,12 시간전
ls**0528,10,집에 안쓰는 장난감에게 다시 애정을,13 시간전
sh**oc3115,10,그시절의 추억과 감동이 물밀려오듯이 한꺼번에 들이차서 눈물을 훔칠수 밖에 없었습니다 감동적이예요,14 시간전
yo**un11,10,기다린 보람이 있음. 너무너무 재밌어요.,20 시간전
se**yeon6776,10,너무 재밌어요! 이래서 토이스토리가 많은 사랑을 받는 구나 깨달았습니다 🫶,21 시간전
mi**iing1,10,재미 있었어요 특히 제시.목소리 성우님 제가 좋아하는 목소리라 더 흥미롭게 들었네요. 아이들이랑 같이 봤는데 재미 있었대요~ 그런데 왠지 토이스토리는 어른을 위한 영화 같다는 생각,21 시간전
li**idlake513,10,기다린 보람이 있음. 너무너무 재밌어요.,21 시간전
gl**sesday,8,무난무난 나쁘지 않았다,23 시간전
sn**ba1964,10,스토리 자체는 재미있음. 어른보다 아이들이 더 좋아할 영화,23 시간전
cl**sia4853,10,너무 좋았어요 🫶,23 시간전
mm**1019992,10,아이들과재밌게봤어요!,1 일전
bs**ub26,10,정말 재미있어요 ㅋ,1 일전
po**000ssh,10,스토리가 재밌고 속 시원,1 일전
to**991217,10,초연결 속 단절을 야기하는 스마트 기기에 대한 고찰,1 일전
we**iger,9,기본컨셉을 해치지않고 시대변화상을 매우 잘 녹여내어 연출한 상상력이 대단하다!,1 일전
sw**0911,10,아이들과 너무 즐겁게 관람했어요~,1 일전
