score,review,date,cleaned_review,rating,created_at,review_len,word_count,datetime,year,month,day,weekday
10,어른들에게도 교훈이 있는 좋은영화,2 분전,어른들에게도 교훈이 있는 좋은영화,10,,18,4,,,,,
10,"아이가 보고싶어해서 봤어요
토이스토리 첨 보는데 많은 교훈을 주는 내용이네요
폰시간을 줄이자고하니 그렇게 영화를 이해하면 안된다네요 ㅋㅋ",44 분전,아이가 보고싶어해서 봤어요 토이스토리 첨 보는데 많은 교훈을 주는 내용이네요 폰시간을 줄이자고하니 그렇게 영화를 이해하면 안된다네요 ㅋㅋ,10,,76,17,,,,,
4,애들이 좋아할 듯한 스토리… 유치함 ㅜㅜ,1 시간전,애들이 좋아할 듯한 스토리 유치함 ㅜㅜ,4,,21,6,,,,,
9,"""시대는 변해도, 친구들은 영원하다""",2 시간전,시대는 변해도 친구들은 영원하다,9,,17,4,,,,,
8,새로운 디지털 장난감과 끝나지 않은 아날로그 장난감들의 이야기...,3 시간전,새로운 디지털 장난감과 끝나지 않은 아날로그 장난감들의 이야기,8,,34,8,,,,,
8,토이 스토리 재미있게 잘 봤어요,3 시간전,토이 스토리 재미있게 잘 봤어요,8,,17,5,,,,,
10,재미있어요 굿굿 ㅠㅠ,4 시간전,재미있어요 굿굿 ㅠㅠ,10,,11,3,,,,,
10,재미있게 봤어요 또 보고  싶어 요,4 시간전,재미있게 봤어요 또 보고 싶어 요,10,,18,6,,,,,
9,토이스토리는 언제나 기대를 저버리지않아요♡,4 시간전,토이스토리는 언제나 기대를 저버리지않아요,9,,22,4,,,,,
8,여전히 생명력이 있는 시리즈라는게 느껴진다,4 시간전,여전히 생명력이 있는 시리즈라는게 느껴진다,8,,23,5,,,,,
10,관계는 바뀌어도 추억은 바뀌지 않는다. 소중한 추억...,4 시간전,관계는 바뀌어도 추억은 바뀌지 않는다 소중한 추억,10,,27,7,,,,,
9,토이스토리  아이가 좋아하는 애니에요,5 시간전,토이스토리 아이가 좋아하는 애니에요,9,,19,4,,,,,
10,사실 시리즈가 많아 기대는 안했는데 고1.중2아들과 같이봤는데 재미있었어요~,5 시간전,사실 시리즈가 많아 기대는 안했는데 고1중2아들과 같이봤는데 재미있었어요,10,,40,8,,,,,
10,"오랜만에 보는 토이스토리, 재밌었어요",5 시간전,오랜만에 보는 토이스토리 재밌었어요,10,,19,4,,,,,
8,"디즈니 스러운 교훈과 스토리네요
시리즈를 전부본게아니라서 왜 인생영화인지까진 공감하지못했지만 작중 감정변화나 표현은 좋았습니다
버즈 장난감을 가지고 관람한 아이덕에 별하나 추가요",6 시간전,디즈니 스러운 교훈과 스토리네요 시리즈를 전부본게아니라서 왜 인생영화인지까진 공감하지못했지만 작중 감정변화나 표현은 좋았습니다 버즈 장난감을 가지고 관람한 아이덕에 별하나 추가요,8,,99,20,,,,,
10,굿굿입니다용 ㅎㅎㅎㅎ,7 시간전,굿굿입니다용 ㅎㅎㅎㅎ,10,,11,2,,,,,
10,끝없는 아이들과 장난감의 유대,10 시간전,끝없는 아이들과 장난감의 유대,10,,16,4,,,,,
10,토이스토리 시리즈중 최고,10 시간전,토이스토리 시리즈중 최고,10,,13,3,,,,,
10,감동적이고 노래ost도 좋아요,11 시간전,감동적이고 노래ost도 좋아요,10,,16,3,,,,,
6,아무 생각 없이 힐링하기 좋은 킬링 타임용 영화. 동심 충전 완료.,11 시간전,아무 생각 없이 힐링하기 좋은 킬링 타임용 영화 동심 충전 완료,6,,35,11,,,,,
10,영상이 예뻐서 어른도 힐링각,12 시간전,영상이 예뻐서 어른도 힐링각,10,,15,4,,,,,
10,요즘 아이들이 꼭 봐야할 영화,13 시간전,요즘 아이들이 꼭 봐야할 영화,10,,16,5,,,,,
10,집에 안쓰는 장난감에게 다시 애정을,14 시간전,집에 안쓰는 장난감에게 다시 애정을,10,,19,5,,,,,
10,그시절의 추억과 감동이 물밀려오듯이 한꺼번에 들이차서 눈물을 훔칠수 밖에 없었습니다 감동적이예요,15 시간전,그시절의 추억과 감동이 물밀려오듯이 한꺼번에 들이차서 눈물을 훔칠수 밖에 없었습니다 감동적이예요,10,,53,11,,,,,
10,기다린 보람이 있음. 너무너무 재밌어요.,21 시간전,기다린 보람이 있음 너무너무 재밌어요,10,,20,5,,,,,
10,너무 재밌어요! 이래서 토이스토리가 많은 사랑을 받는 구나 깨달았습니다 🫶,21 시간전,너무 재밌어요 이래서 토이스토리가 많은 사랑을 받는 구나 깨달았습니다,10,,38,9,,,,,
10,재미 있었어요 특히 제시.목소리 성우님 제가 좋아하는 목소리라 더 흥미롭게 들었네요. 아이들이랑 같이 봤는데 재미 있었대요~ 그런데 왠지 토이스토리는 어른을 위한 영화 같다는 생각,21 시간전,재미 있었어요 특히 제시목소리 성우님 제가 좋아하는 목소리라 더 흥미롭게 들었네요 아이들이랑 같이 봤는데 재미 있었대요 그런데 왠지 토이스토리는 어른을 위한 영화 같다는 생각,10,,97,24,,,,,
8,무난무난 나쁘지 않았다,23 시간전,무난무난 나쁘지 않았다,8,,12,3,,,,,
10,스토리 자체는 재미있음. 어른보다 아이들이 더 좋아할 영화,23 시간전,스토리 자체는 재미있음 어른보다 아이들이 더 좋아할 영화,10,,31,8,,,,,
10,너무 좋았어요 🫶,23 시간전,너무 좋았어요,10,,7,2,,,,,
10,아이들과재밌게봤어요!,1 일전,아이들과재밌게봤어요,10,,10,1,,,,,
10,정말 재미있어요 ㅋ,1 일전,정말 재미있어요 ㅋ,10,,10,3,,,,,
10,스토리가 재밌고 속 시원,1 일전,스토리가 재밌고 속 시원,10,,13,4,,,,,
10,초연결 속 단절을 야기하는 스마트 기기에 대한 고찰,1 일전,초연결 속 단절을 야기하는 스마트 기기에 대한 고찰,10,,28,8,,,,,
9,기본컨셉을 해치지않고 시대변화상을 매우 잘 녹여내어 연출한 상상력이 대단하다!,1 일전,기본컨셉을 해치지않고 시대변화상을 매우 잘 녹여내어 연출한 상상력이 대단하다,9,,42,9,,,,,
10,아이들과 너무 즐겁게 관람했어요~,1 일전,아이들과 너무 즐겁게 관람했어요,10,,17,4,,,,,
8,"스마트기기에 중독된 시대에 위트 있는 이야기로 재미있게
감상했습니다. 9살 아이도 재미있게 봤다네요.",1 일전,스마트기기에 중독된 시대에 위트 있는 이야기로 재미있게 감상했습니다 9살 아이도 재미있게 봤다네요,8,,54,12,,,,,
10,"전자기기의 무서움을 시각적으로 보게되니 너무 무서웠고, 아이들의 미래가 걱정되었어요. 어릴적 논던게 떠올라 추억여행도 되고 오히려 어른들이 봐야하지 싶네요",1 일전,전자기기의 무서움을 시각적으로 보게되니 너무 무서웠고 아이들의 미래가 걱정되었어요 어릴적 논던게 떠올라 추억여행도 되고 오히려 어른들이 봐야하지 싶네요,10,,84,18,,,,,
10,역시 토이스토리… 👍🏻👍🏻,1 일전,역시 토이스토리,10,,8,2,,,,,
10,잘봤습니다  재밌어지더라고요,1 일전,잘봤습니다 재밌어지더라고요,10,,14,2,,,,,
10,AI 시대에 맞는 주제로 재밌게 봤습니다,1 일전,AI 시대에 맞는 주제로 재밌게 봤습니다,10,,22,6,,,,,
10,어른인 제가 감동 받은 부분이 많아 코끝찡했네요. 아이들에게도 마음속 깊이 타임캡슐로 남아 언젠가 문득 끄집어 내게 되는 영화로 기억되지 않을까 생각합니다,1 일전,어른인 제가 감동 받은 부분이 많아 코끝찡했네요 아이들에게도 마음속 깊이 타임캡슐로 남아 언젠가 문득 끄집어 내게 되는 영화로 기억되지 않을까 생각합니다,10,,85,21,,,,,
10,"재밌었어요! 나이대별로 좋아하는게 달라지면서, 어릴때 갖구놀던 장난감의 소중함을 다시 느끼게 되었던..요즘 아이들의 모습도 보였습니다.",1 일전,재밌었어요 나이대별로 좋아하는게 달라지면서 어릴때 갖구놀던 장난감의 소중함을 다시 느끼게 되었던요즘 아이들의 모습도 보였습니다,10,,70,14,,,,,
9,"초등, 유치원 딸들과 봤은데 감동이래요",1 일전,초등 유치원 딸들과 봤은데 감동이래요,9,,20,5,,,,,
10,아이들과 같이 보기 좋아요~,1 일전,아이들과 같이 보기 좋아요,10,,14,4,,,,,
10,추억의토이스토리해피엔드,1 일전,추억의토이스토리해피엔드,10,,12,1,,,,,
10,영화 재밌게 관람했어요,1 일전,영화 재밌게 관람했어요,10,,12,3,,,,,
10,역시 재밌어요~~~ 6시리즈도 나왔음 좋겠어요!!,1 일전,역시 재밌어요 6시리즈도 나왔음 좋겠어요,10,,22,5,,,,,
7,다 좋았는데 뭔가 임팩트가 없음 약간 전편들 보다는 쫌....,1 일전,다 좋았는데 뭔가 임팩트가 없음 약간 전편들 보다는 쫌,7,,30,9,,,,,
10,숨실틈없이 재미있게 잘 봤어요,1 일전,숨실틈없이 재미있게 잘 봤어요,10,,16,4,,,,,
10,어린시절 내 놀이친구들 소환!!,1 일전,어린시절 내 놀이친구들 소환,10,,15,4,,,,,
10,토이들과 함께 나이를 먹는게 행복했어요,1 일전,토이들과 함께 나이를 먹는게 행복했어요,10,,21,5,,,,,
9,어른이 된 우리들에게 기억을 되찾아주는 영화,1 일전,어른이 된 우리들에게 기억을 되찾아주는 영화,9,,24,6,,,,,
7,나이가 들면서 편견을 버리기가 점점 어려워진다.,1 일전,나이가 들면서 편견을 버리기가 점점 어려워진다,7,,25,6,,,,,
10,아이들과 재미있게 봤습니다.,1 일전,아이들과 재미있게 봤습니다,10,,14,3,,,,,
10,아이들이 보고 싶다고 해서  아이 친구들까지 데리고 가서  봤는데 너무 재미있어하네요^^  요즘 진짜 전자기기 넘 많이 하는데  아주 공감했네요,1 일전,아이들이 보고 싶다고 해서 아이 친구들까지 데리고 가서 봤는데 너무 재미있어하네요 요즘 진짜 전자기기 넘 많이 하는데 아주 공감했네요,10,,74,19,,,,,
10,신박한 내용 좋았습니다.,1 일전,신박한 내용 좋았습니다,10,,12,3,,,,,
10,감동적이고 잔잔한 스토리,1 일전,감동적이고 잔잔한 스토리,10,,13,3,,,,,
10,푸석푸석한 삶에 활력소같은 영화였습니다. 다시한번 되돌아보게되고 앞으로 나아갈 에너지를 주는 영화네요!,1 일전,푸석푸석한 삶에 활력소같은 영화였습니다 다시한번 되돌아보게되고 앞으로 나아갈 에너지를 주는 영화네요,10,,55,11,,,,,
10,시대상까지 반영한 메시지를 전하는..왜 관람평이 별로인 글들이 많은지 이해가 안간다. 재미 있기만 하구만...,1 일전,시대상까지 반영한 메시지를 전하는왜 관람평이 별로인 글들이 많은지 이해가 안간다 재미 있기만 하구만,10,,55,13,,,,,
10,역시 토이스토리! 평 안좋은 게 종종 있는게 이해가 안 갈 정도로 좋았다!,1 일전,역시 토이스토리 평 안좋은 게 종종 있는게 이해가 안 갈 정도로 좋았다,10,,39,12,,,,,
9,"30년간 기다려왔던 버즈의 특이점!
새로운 친구, 새로운 연출방식 모두가 맘에드는 한편이였다.우려먹는건 없다.캐릭터들은 이전의 그들이지만 이야기는 이전의 그것이 아니다!",1 일전,30년간 기다려왔던 버즈의 특이점 새로운 친구 새로운 연출방식 모두가 맘에드는 한편이였다우려먹는건 없다캐릭터들은 이전의 그들이지만 이야기는 이전의 그것이 아니다,9,,89,18,,,,,
10,"동심으로 다시 돌아가는 시간이었습니다!
추천합니다!!",1 일전,동심으로 다시 돌아가는 시간이었습니다 추천합니다,10,,26,5,,,,,
10,재미있어요 가족과함께보기좋어요,1 일전,재미있어요 가족과함께보기좋어요,10,,16,2,,,,,
8,아기자기하면서 시끌벅적 토이들,1 일전,아기자기하면서 시끌벅적 토이들,8,,16,3,,,,,
8,"볼만은 해요, 주제는 좋은거 같아요",2 일전,볼만은 해요 주제는 좋은거 같아요,8,,18,5,,,,,
10,영화 내내 푹 빠져서 봤습니다. 모아나랑 토이스토리 중 고민했는데 보길 잘함!,2 일전,영화 내내 푹 빠져서 봤습니다 모아나랑 토이스토리 중 고민했는데 보길 잘함,10,,41,11,,,,,
10,아이랑 보는 영화 보통 재미없거나 그냥그런데요. 토이스토리는 전 시리즈 안봤었는데도 꽤 재밌었어요. 극장에 대부분은 어른들끼리 보러 온 사람들이었고 다들 즐기는 거 같았습니다.,2 일전,아이랑 보는 영화 보통 재미없거나 그냥그런데요 토이스토리는 전 시리즈 안봤었는데도 꽤 재밌었어요 극장에 대부분은 어른들끼리 보러 온 사람들이었고 다들 즐기는 거 같았습니다,10,,95,22,,,,,
