score,review,date,rating,created_at,cleaned_review,review_len,word_count,datetime,year_month,year,month,day,weekday,is_weekend,sentiment,tfidf_svd_0,tfidf_svd_1,tfidf_svd_2,tfidf_svd_3,tfidf_svd_4,tfidf_svd_5,tfidf_svd_6,tfidf_svd_7,tfidf_svd_8,tfidf_svd_9
10,어른들에게도 교훈이 있는 좋은영화,2 분전,10,2026-07-20,어른들에게도 교훈이 있는 좋은영화,18,4,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.023822178226368167,0.004003143930763341,0.04624805513141861,-0.00044699731082568597,0.03265799896581149,-0.010483170011987753,0.03039265180401802,0.03153247554801888,-0.06229707136278897,-0.026216781420445694
10,"아이가 보고싶어해서 봤어요
토이스토리 첨 보는데 많은 교훈을 주는 내용이네요
폰시간을 줄이자고하니 그렇게 영화를 이해하면 안된다네요 ㅋㅋ",44 분전,10,2026-07-20,아이가 보고싶어해서 봤어요 토이스토리 첨 보는데 많은 교훈을 주는 내용이네요 폰시간을 줄이자고하니 그렇게 영화를 이해하면 안된다네요 ㅋㅋ,76,17,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.19293129073808787,0.232308696710149,0.16115327830833825,-0.036308917112930765,-0.09451928714925738,-0.06033509604589923,-0.08751193043629125,-0.08785574199539735,0.07096193062983543,-0.03978333359674452
4,애들이 좋아할 듯한 스토리… 유치함 ㅜㅜ,1 시간전,4,2026-07-20,애들이 좋아할 듯한 스토리 유치함 ㅜㅜ,21,6,2026-07-20,2026-07,2026,7,20,Monday,False,negative,0.03885101856054218,-0.0030205282779432402,0.05060454843553244,-0.004177425815731948,0.04323319701921945,0.0031356753867385085,0.09477412306488915,-0.0030054752872244804,-0.014376043250986039,0.03150263554917358
9,"""시대는 변해도, 친구들은 영원하다""",2 시간전,9,2026-07-20,시대는 변해도 친구들은 영원하다,17,4,2026-07-20,2026-07,2026,7,20,Monday,False,positive,8.35286991291186e-18,-4.5157530129122304e-17,-4.623080311409947e-17,-1.2710811495819595e-17,-1.1101695325055379e-16,4.067580829754651e-18,1.1122568613064337e-18,-3.936181122557199e-17,9.932164100565809e-18,3.881864928288815e-18
8,새로운 디지털 장난감과 끝나지 않은 아날로그 장난감들의 이야기...,3 시간전,8,2026-07-20,새로운 디지털 장난감과 끝나지 않은 아날로그 장난감들의 이야기,34,8,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.013889322693227488,0.005290155370769215,0.02198574220168092,0.020076437775194328,0.0520701956475238,-0.0177231435932378,-0.003715769862416089,-0.0020188120043964615,-0.003351055983149688,-0.00597339401053623
8,토이 스토리 재미있게 잘 봤어요,3 시간전,8,2026-07-20,토이 스토리 재미있게 잘 봤어요,17,5,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.13179062231905397,-0.033835380583217126,0.5479571268936047,-0.01839699302360802,-0.20953911229748365,-0.027418762623989526,0.1459308987852326,-0.09589502848855477,0.008076876446420765,0.17495191702083224
10,재미있어요 굿굿 ㅠㅠ,4 시간전,10,2026-07-20,재미있어요 굿굿 ㅠㅠ,11,3,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.012103443982175973,0.005989683893920212,0.02379418399348877,-0.0011034490799399096,0.00023713000662018704,0.01810257797371175,-0.001198937937228746,0.03369801533557231,0.00513491078082444,-0.02238064954024414
10,재미있게 봤어요 또 보고  싶어 요,4 시간전,10,2026-07-20,재미있게 봤어요 또 보고 싶어 요,18,6,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.15012316293804087,-0.04865965054880374,0.6073263871079007,-0.02876164940664768,-0.31779997557141926,-0.04598875689340559,0.08802442381585206,-0.10157939483367746,0.013945897334203745,0.1370343718133558
9,토이스토리는 언제나 기대를 저버리지않아요♡,4 시간전,9,2026-07-20,토이스토리는 언제나 기대를 저버리지않아요,22,4,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.04086370842386056,0.020441872321864486,0.03513782152342357,0.029848074205259183,0.05836869296323368,0.48914558289448795,0.0010698354338728696,0.0018021347054078681,-0.008821666119814102,-0.13182788565774867
8,여전히 생명력이 있는 시리즈라는게 느껴진다,4 시간전,8,2026-07-20,여전히 생명력이 있는 시리즈라는게 느껴진다,23,5,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.07025924396445188,-0.010508911234314997,0.028652874753281345,0.06192397654667121,0.0297167216129867,0.03169437508281267,0.055928950033391205,0.04660795637275183,-0.16748914081860355,-0.19840554396764673
10,관계는 바뀌어도 추억은 바뀌지 않는다. 소중한 추억...,4 시간전,10,2026-07-20,관계는 바뀌어도 추억은 바뀌지 않는다 소중한 추억,27,7,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.0026989803698033096,0.0043059692832465015,-4.746700654037895e-05,0.0014644092358162795,-2.1767868795172333e-05,0.0003803330050233351,0.0008971253686915373,0.006048780952908186,-0.007980105850133435,-0.012446313329216863
9,토이스토리  아이가 좋아하는 애니에요,5 시간전,9,2026-07-20,토이스토리 아이가 좋아하는 애니에요,19,4,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.2119582408550611,0.3826279747605243,-0.03708160980825851,-0.07880267633462905,-0.029787748779481447,-0.05917277231153445,-0.037805085516748604,-0.0064605417389644836,-0.0052720998985281995,-0.06962796600439566
10,사실 시리즈가 많아 기대는 안했는데 고1.중2아들과 같이봤는데 재미있었어요~,5 시간전,10,2026-07-20,사실 시리즈가 많아 기대는 안했는데 고1중2아들과 같이봤는데 재미있었어요,40,8,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.008614655793087834,0.019189993133869692,0.002346098264983673,-0.0032424487187269918,0.0008827264306138253,-0.002254645770915623,-0.004027133473935599,0.028216944411072437,-0.004074910634586396,-0.01002045053675552
10,"오랜만에 보는 토이스토리, 재밌었어요",5 시간전,10,2026-07-20,오랜만에 보는 토이스토리 재밌었어요,19,4,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.19209541120598217,0.36495150384909486,-0.016528258008833216,-0.04078779065880858,0.0018872586683856222,-0.028357984794057708,-0.04398398535927798,0.04582751071966975,-0.037608377741778956,-0.14388914551578583
8,"디즈니 스러운 교훈과 스토리네요
시리즈를 전부본게아니라서 왜 인생영화인지까진 공감하지못했지만 작중 감정변화나 표현은 좋았습니다
버즈 장난감을 가지고 관람한 아이덕에 별하나 추가요",6 시간전,8,2026-07-20,디즈니 스러운 교훈과 스토리네요 시리즈를 전부본게아니라서 왜 인생영화인지까진 공감하지못했지만 작중 감정변화나 표현은 좋았습니다 버즈 장난감을 가지고 관람한 아이덕에 별하나 추가요,99,20,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.008342039778101823,0.003017998146923365,0.01550419486427746,0.001912261429923546,0.005881087214659631,0.0004714177494238093,0.023897987887923536,0.02252406010926273,-0.011177045884812784,-0.009289176296372766
10,굿굿입니다용 ㅎㅎㅎㅎ,7 시간전,10,2026-07-20,굿굿입니다용 ㅎㅎㅎㅎ,11,2,2026-07-20,2026-07,2026,7,20,Monday,False,positive,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
10,끝없는 아이들과 장난감의 유대,10 시간전,10,2026-07-20,끝없는 아이들과 장난감의 유대,16,4,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.02570645720514613,0.0020575924307767337,0.051423932869250705,-0.005160933611048761,-0.009700371415195228,-0.003973416047375795,0.007104615334268104,0.21512869327647427,-0.16752450681648204,0.056877735035941186
10,토이스토리 시리즈중 최고,10 시간전,10,2026-07-20,토이스토리 시리즈중 최고,13,3,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.14311742659823773,0.3643243370836024,-0.016392800269443546,-0.05706678242671025,-0.0309677417253304,-0.04733986398254797,-0.03922423057931427,0.04054586216018999,0.06879850775328022,-0.06984183078886969
10,감동적이고 노래ost도 좋아요,11 시간전,10,2026-07-20,감동적이고 노래ost도 좋아요,16,3,2026-07-20,2026-07,2026,7,20,Monday,False,positive,0.034917115205124805,-0.013044856685159575,-0.0057709600211304675,-0.006584781383160401,0.006598112397309991,0.0024511678655876304,0.005301551107052487,0.05816074309799533,-0.058276129663353944,-0.014149561144250405
6,아무 생각 없이 힐링하기 좋은 킬링 타임용 영화. 동심 충전 완료.,11 시간전,6,2026-07-20,아무 생각 없이 힐링하기 좋은 킬링 타임용 영화 동심 충전 완료,35,11,2026-07-20,2026-07,2026,7,20,Monday,False,neutral,0.03227910201054831,0.006617595796773646,0.11160355925384817,0.020283640602099175,0.26859176697584,-0.04670691577813508,-0.016163614164686774,0.052829965578385436,0.01728531760701753,0.023172642638609558
